ParticipantID,anger-conservatives(political),anger-healthcare,anger-neighbors(yours),anger-police,anger-religion,anger-sadness,anger-science,anger-voting,conservatives(political)-fear,conservatives(political)-firefighter,conservatives(political)-immigration,conservatives(political)-joy,conservatives(political)-liberals(political),conservatives(political)-science,conservatives(political)-trust,fear-anger,fear-firefighter,fear-immigration,fear-love,fear-neighbors(yours),fear-religion,fear-sadness,fear-voting,firefighter-anger,firefighter-healthcare,firefighter-joy,firefighter-police,firefighter-religion,firefighter-science,firefighter-trust,firefighter-voting,healthcare-conservatives(political),healthcare-fear,healthcare-love,healthcare-neighbors(yours),healthcare-science,healthcare-trust,healthcare-voting,immigration-anger,immigration-firefighter,immigration-healthcare,immigration-joy,immigration-liberals(political),immigration-police,immigration-trust,joy-anger,joy-fear,joy-healthcare,joy-liberals(political),joy-love,joy-neighbors(yours),joy-trust,joy-voting,liberals(political)-anger,liberals(political)-fear,liberals(political)-firefighter,liberals(political)-healthcare,liberals(political)-love,liberals(political)-sadness,love-anger,love-conservatives(political),love-firefighter,love-immigration,love-police,love-sadness,love-science,love-trust,neighbors(yours)-conservatives(political),neighbors(yours)-firefighter,neighbors(yours)-immigration,neighbors(yours)-liberals(political),neighbors(yours)-love,neighbors(yours)-science,neighbors(yours)-voting,police-conservatives(political),police-fear,police-healthcare,police-joy,police-liberals(political),police-neighbors(yours),police-religion,religion-conservatives(political),religion-healthcare,religion-immigration,religion-joy,religion-liberals(political),religion-love,religion-neighbors(yours),religion-trust,sadness-conservatives(political),sadness-firefighter,sadness-healthcare,sadness-immigration,sadness-joy,sadness-neighbors(yours),sadness-police,sadness-religion,science-fear,science-immigration,science-joy,science-liberals(political),science-police,science-religion,science-sadness,science-trust,trust-anger,trust-fear,trust-liberals(political),trust-neighbors(yours),trust-police,trust-sadness,trust-voting,voting-conservatives(political),voting-immigration,voting-liberals(political),voting-love,voting-police,voting-religion,voting-sadness,voting-science
11890607,-1,3,4,3,4,0,4,2,2,1,1,2,1,2,3,0,3,4,-1,0,-1,1,3,3,0,2,2,-4,2,1,-1,2,2,5,2,2,-2,0,3,-2,1,-3,0,1,-2,-2,2,4,2,2,1,2,0,1,0,0,-2,2,2,0,1,0,0,0,-1,-3,1,1,-3,0,-2,4,5,2,0,-3,1,-2,-2,2,0,-1,-2,-3,4,5,-3,-1,1,3,2,5,0,3,-3,3,4,-1,4,3,1,-1,-1,2,1,1,1,3,-4,1,-1,-1,-2,2,1,2,1,1,2,1
11890609,0,-2,-3,1,-1,0,1,0,-1,0,1,-1,5,1,1,1,-1,2,1,0,0,3,2,-2,3,3,2,0,0,3,0,-1,-1,2,1,3,3,1,1,0,1,2,-2,1,-1,-2,3,2,1,2,-1,2,-1,-1,2,-2,1,-2,1,-3,-1,2,1,1,-1,-1,3,2,-2,0,0,2,1,1,0,2,-2,1,1,2,0,-2,1,1,4,0,1,0,0,-1,-3,-2,1,-2,1,1,-2,0,0,-1,1,-1,-1,-1,1,1,1,1,1,2,-2,-2,1,1,-2,-2,-2,0,-2,0
11890612,-7,3,-7,-7,0,5,3,-6,5,7,7,7,0,5,4,7,-7,7,0,0,-7,5,-7,0,0,7,7,0,0,7,0,7,0,0,7,7,5,7,7,0,-7,7,-6,7,0,0,0,5,-4,7,7,4,4,5,-7,-5,4,2,2,0,7,7,-7,7,0,4,7,5,0,0,-5,7,0,7,7,-7,0,7,-7,7,0,7,0,0,7,1,7,7,7,0,-7,0,7,0,-7,-7,7,-4,-7,5,7,-7,-7,0,5,0,0,-7,7,7,0,7,7,-7,7,0,0,0,0,2
11890617,2,3,-1,2,-1,1,-1,1,2,1,-1,-2,-1,-1,1,2,3,-1,-2,2,2,2,2,-2,3,1,2,-1,-2,5,-1,-1,-2,-2,3,-3,2,1,2,-2,1,-1,4,1,1,3,-1,2,1,-2,2,1,-1,2,1,1,-1,3,-2,2,1,2,2,-2,1,2,1,2,2,2,2,2,1,2,1,1,-1,3,1,1,3,1,2,-1,2,1,3,1,1,2,1,3,-2,2,2,1,3,3,2,2,4,1,-1,-2,2,5,2,1,-3,-1,1,2,3,-1,-2,2,-2,-1,2,-2
11890618,6,4,-2,7,3,3,-1,2,4,2,-6,-2,-7,-3,-3,4,5,3,2,-5,4,4,5,0,-1,4,5,-2,1,4,0,3,4,0,0,-2,6,2,2,0,-3,4,4,-4,2,-4,-5,0,3,7,-1,6,2,0,-2,1,4,-1,-2,2,-3,0,1,-5,-4,-5,7,-3,2,0,3,2,-3,-2,7,6,2,-3,-5,-5,2,6,1,0,-2,-4,0,-3,-2,3,0,3,2,-7,-1,3,-2,1,0,2,6,-4,1,-2,5,0,-4,2,4,-5,-2,6,2,5,2,2,2,-2,3,1
11890619,5,3,-3,-5,5,-5,4,4,-3,-4,-5,0,-5,-5,5,-4,-3,5,3,-4,-2,6,-3,-5,3,-4,-3,3,-5,4,4,-4,-5,4,2,6,4,-5,5,-4,4,3,-5,-4,-4,4,4,-4,-5,6,-4,-4,-5,-4,-5,-3,-4,4,4,-4,-4,4,-3,-3,4,4,3,-3,4,-4,5,6,-6,-5,4,-4,-2,-5,6,4,5,-3,-2,-3,5,-4,-5,4,-4,4,3,-4,4,4,-5,-4,6,-5,5,5,-3,5,5,-5,4,-2,5,3,2,-4,5,5,-4,5,0,5,6,-5,-1,4
11890620,4,-3,-2,2,-2,3,2,-3,-5,2,-1,0,3,3,-1,2,2,3,2,2,2,2,3,4,3,2,2,1,3,4,2,3,-3,3,-1,3,2,4,3,3,3,-2,3,2,-3,1,4,3,2,2,2,2,-2,3,3,2,-2,-5,2,1,2,2,1,3,2,-3,3,2,-5,2,0,4,1,3,-2,2,-2,2,2,-3,3,-2,0,2,2,-2,2,-3,3,0,-1,-1,-2,3,1,-1,2,-2,-3,-2,-2,3,-3,3,3,3,-3,3,2,2,3,-2,2,0,3,0,2,2,-1,0
11890635,-2,2,-3,2,-4,1,-3,0,1,0,4,-5,1,-4,-4,4,-3,1,-5,-4,-2,1,1,-2,1,0,4,-2,-2,3,-1,-3,2,-3,-1,4,-5,4,0,-2,-2,0,1,-2,-2,-3,-2,-5,-2,5,0,4,-2,0,-2,1,4,-2,-3,-1,-2,-2,0,-1,0,-2,3,-2,-7,-3,0,-2,-4,0,4,3,-2,-2,1,-7,-2,4,-2,-2,1,-5,1,-5,0,-4,-2,2,-2,-5,-3,0,-2,0,-3,0,2,-3,-4,0,3,-2,-1,1,0,0,-3,-1,1,1,2,-1,0,0,-1,0
11890641,5,0,0,7,7,7,0,5,0,0,-5,0,-7,0,-3,7,-6,3,-7,0,7,7,3,-3,0,0,7,0,0,3,0,-4,-6,0,0,5,3,6,0,0,0,0,6,-2,0,-5,-7,0,2,7,0,7,0,3,0,0,4,0,0,-7,0,0,0,-7,-5,-4,6,0,-7,0,2,0,0,0,7,7,0,-7,-4,5,0,5,0,0,3,-4,3,0,5,0,-7,0,0,-7,0,5,-1,-4,0,0,0,0,-7,0,4,-5,-7,2,0,-7,-7,4,7,4,7,0,0,0,0,-5
11890646,7,6,3,7,3,3,-1,5,7,4,-7,-6,-7,-6,-5,4,7,7,0,4,7,4,3,0,5,-4,3,5,0,6,0,-4,5,2,0,6,6,6,5,0,0,3,7,0,4,-7,-7,6,5,5,1,6,6,-3,-2,-2,6,5,-1,-7,-6,0,3,-3,-7,-4,7,4,0,2,-3,1,-3,3,6,7,1,-6,-3,2,3,7,0,0,7,4,7,7,6,6,1,5,4,-7,1,4,1,3,0,2,5,-6,4,0,4,2,-2,6,1,-3,-4,5,-1,6,6,2,2,5,4,0
11890647,0,0,5,3,0,7,-7,0,0,0,-7,0,-7,-7,3,7,0,7,-7,7,3,7,2,-7,7,7,7,0,0,7,0,7,0,7,6,7,7,7,7,-7,0,-7,7,4,-7,-7,-7,7,0,7,1,7,0,0,0,0,7,0,0,-7,0,7,-7,0,-7,7,7,0,-7,0,-7,4,0,4,7,3,4,0,-4,-6,-7,4,0,0,7,0,0,-7,4,-7,-7,3,7,-7,3,3,0,-7,0,7,7,2,-7,-7,7,-7,-7,0,3,6,-7,4,7,1,7,7,7,0,0,0
11890651,5,5,-5,2,3,3,4,4,2,1,-5,4,-3,3,3,5,3,-1,2,4,2,6,-2,-2,1,2,5,6,5,5,2,5,4,-5,5,4,4,4,3,5,-3,2,6,3,-1,2,-1,2,2,2,6,5,-3,0,3,2,6,5,5,5,4,6,-1,4,-5,2,-2,5,3,4,3,4,4,4,-2,-4,4,5,1,6,1,5,5,4,5,-6,6,-1,-4,3,-2,6,7,4,-5,1,3,5,-1,6,5,5,4,4,-2,6,0,1,3,5,5,3,3,2,3,1,4,4,3,3
11890652,-4,-3,-2,3,-3,2,-5,-3,-4,-3,-3,2,-4,-1,3,-4,-2,2,1,-3,-4,-4,-5,2,3,2,4,-4,-3,4,-4,2,-4,2,-3,6,2,4,-3,-2,-5,-4,1,2,-3,2,-4,2,2,5,2,3,3,-2,-2,-4,3,2,-4,2,2,-2,-3,-4,4,4,6,-3,-4,-3,-2,1,-2,3,0,3,-3,-2,2,-5,-3,-3,-4,-3,4,-3,-4,-4,3,-3,-3,-4,1,4,-5,1,-3,1,-4,2,-4,-5,-3,-5,3,-3,3,4,-4,0,-3,-3,3,4,-3,-3,-3,-2,-3,-4
11890655,5,4,3,-3,6,5,5,3,2,-3,1,4,2,5,3,2,3,-3,5,5,3,0,5,4,5,4,3,-2,-2,3,-4,-2,-5,4,-5,5,-3,4,-5,2,2,4,-3,-2,5,3,4,1,4,3,-4,3,4,-2,4,5,3,6,3,5,-5,4,-4,-2,3,2,3,3,3,-3,3,4,4,4,2,5,5,5,-4,-1,4,2,-4,-4,4,-4,5,-4,4,4,5,2,-3,-1,2,-2,-2,-4,-3,-2,-1,5,5,4,-1,-3,-4,4,5,1,-4,5,5,2,-4,2,5,-5,5,3
11890656,-2,5,-3,5,-1,-3,-3,-4,-4,0,-3,-4,-6,-4,-3,-5,-2,-4,0,-4,-1,-2,-3,-3,1,3,4,-4,3,5,-4,5,-1,4,5,5,6,4,-2,-3,-3,5,4,-2,4,-5,1,5,4,4,-3,5,-4,-2,5,-3,4,5,3,-6,4,5,2,0,-3,0,5,-4,-2,-3,3,5,5,-2,-4,1,5,2,5,-2,-1,-2,4,2,2,-1,-4,-2,-4,-1,-2,-3,3,-3,0,-2,-3,-3,-4,4,2,-5,-2,-3,1,0,3,2,5,2,-1,-2,4,-1,-3,4,-4,2,-3,3
11890659,-2,-6,-3,2,-2,3,-6,-5,-3,-5,2,-2,-7,0,0,2,-3,3,-6,-3,3,1,-4,-5,-3,-3,3,-6,-3,-3,-6,-2,-3,-2,-5,6,2,-3,5,-5,0,-6,6,2,-6,-7,-4,-2,-4,6,-4,-3,-3,4,3,-4,4,-6,2,-7,-3,-3,-5,-4,-6,-5,4,3,-5,-7,-4,-3,-4,-2,5,1,-3,-5,-4,-6,-4,3,-3,-3,1,-6,-4,-2,0,-6,-5,-3,2,-7,-6,-2,-3,-7,-4,-4,4,-4,-7,-6,-2,-4,-6,-6,0,1,-5,5,2,-3,-3,-4,-6,-2,-7,-6
11890660,3,3,3,5,4,4,3,3,5,4,5,4,3,4,4,4,2,4,4,5,4,5,4,3,4,5,5,5,5,5,3,5,5,4,5,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5,3,4,5,5,4,4,5,4,6,4,5,4,5,4,4,3,5,5,4,4,4,4,5,4,3,5,5,5,5,4,5,4,6,5,4,5,4,5,2,5,5,5,5,4,4,4,3,3,5,6,5,5,5,4,4,3,3,4,5,4,4,5,5,5,4,5,4,6,4
11890668,6,1,1,5,3,5,0,4,7,0,3,-7,-7,0,-5,5,-1,4,-7,1,6,3,3,0,1,0,3,0,1,7,0,-5,1,4,0,5,3,1,0,0,1,0,3,-3,0,-7,-7,1,2,7,1,3,1,2,-7,0,3,5,0,-7,-5,2,0,-4,-7,0,4,1,1,0,2,1,0,2,6,7,1,-7,-5,-5,1,7,0,0,3,-3,2,0,1,2,-3,-2,0,-7,0,2,3,0,0,1,7,0,-7,0,7,-5,-4,6,2,-2,0,3,2,0,4,0,1,0,1,0
11890669,6,6,-4,3,5,6,6,5,-3,-5,-6,-5,-5,6,5,-6,5,-5,6,-5,6,6,-5,-6,-5,6,-5,6,-5,4,-6,-5,-4,4,-5,-5,-5,-4,-4,-6,7,7,4,-5,-5,5,6,-5,-6,5,-6,-5,-5,-4,5,-5,6,6,5,-5,-4,-5,-4,-5,-5,-6,-6,-5,-5,-6,-5,-6,6,-5,6,-5,-5,6,6,4,-5,6,-5,-4,6,-5,5,6,6,7,6,5,-5,6,5,6,7,-6,-7,-5,7,-6,5,-6,-6,6,5,6,5,-5,5,-6,5,-6,-4,6,6,-5,7,6
11890670,0,0,0,4,0,5,0,0,-7,0,-5,0,2,0,0,7,-5,0,5,-7,0,5,-7,0,0,0,6,0,0,3,0,0,0,0,-7,0,2,0,1,0,0,-7,-4,0,0,-2,4,-7,0,7,0,6,0,0,0,0,0,-7,0,-2,0,0,0,-7,4,-7,7,0,-7,-4,0,0,-7,-7,0,4,0,-7,0,0,-7,-7,0,0,4,0,6,0,4,-7,0,0,2,5,0,5,-7,-7,-7,0,0,-7,0,-7,3,3,5,0,2,-3,5,5,7,2,7,-7,0,0,0,0
11890672,4,2,0,4,2,4,-3,0,0,0,4,0,-7,-6,6,7,3,4,-7,0,4,6,-3,0,0,0,6,0,4,5,0,0,0,7,0,7,3,3,0,0,-6,2,3,-4,0,-7,-7,2,3,6,3,6,4,0,-5,2,6,3,0,-6,0,0,0,0,-7,4,7,0,0,0,6,6,0,0,6,6,0,-7,3,0,0,4,4,0,3,2,7,6,6,1,2,3,4,-7,-7,4,0,3,0,3,4,0,3,-5,3,0,0,3,5,3,0,5,7,4,6,3,2,3,0,2
11890673,3,-2,3,-2,1,0,3,-1,3,-2,3,4,2,4,0,-1,6,-2,-2,0,-2,-1,4,-1,4,0,4,-3,-3,5,-3,2,-2,5,-1,6,6,0,1,-2,6,2,6,2,-1,-3,1,4,-2,5,4,4,0,0,-3,1,2,2,1,-2,2,-1,-3,4,-2,1,6,2,1,-4,4,6,2,3,4,6,0,-3,5,6,-3,5,1,-1,-1,3,2,5,3,2,-4,4,2,-3,2,1,-3,0,-1,0,0,-3,1,-4,2,-3,-3,3,1,5,-3,3,5,3,-1,-2,2,-3,-1,1
11890674,6,-6,-4,5,6,6,-6,-5,5,-5,-2,-6,2,-6,-5,-6,4,5,-6,-5,5,6,-6,0,0,6,6,0,1,6,1,-6,-6,7,4,7,7,6,-6,-6,5,6,0,5,6,-6,-6,5,4,-6,4,4,7,-6,-6,0,7,0,-6,-6,-5,-1,5,-5,4,7,7,-4,0,3,2,4,3,5,4,4,0,1,2,6,-6,7,0,-6,-2,0,0,0,1,3,-2,1,-4,5,-4,4,3,-4,0,5,2,-2,0,-6,7,-5,-6,5,5,3,-6,6,4,2,5,6,4,-4,4,6
11890675,0,1,-2,2,0,4,0,-2,0,0,2,0,-7,-5,0,7,-4,2,-7,-2,1,4,0,-4,2,0,5,0,0,2,0,-1,0,-1,0,1,1,0,1,-3,0,0,0,3,0,-7,-7,-1,0,7,0,1,-1,0,0,0,1,0,0,-7,0,1,0,-2,-7,0,3,0,0,-1,2,0,0,0,3,0,-2,-2,-2,0,2,3,-1,0,2,-2,0,0,2,0,-5,1,0,-7,-3,0,0,0,-4,0,2,-3,-6,-2,1,-4,-7,0,1,0,-7,2,2,0,1,-1,0,0,0,-2
11890678,1,1,0,1,-5,4,0,-5,-3,0,3,0,-7,-2,-2,2,2,2,-6,0,1,4,0,0,0,-3,5,0,0,5,0,1,-2,0,0,4,2,2,2,0,1,0,2,2,0,-7,-4,0,1,5,1,3,3,0,0,0,4,5,0,-7,0,0,0,0,-7,0,2,1,0,0,2,1,0,0,2,2,0,0,0,0,0,-3,0,0,0,0,3,1,3,0,0,0,1,-7,0,0,0,-3,0,0,2,0,-6,0,1,-6,-7,2,2,2,0,4,5,1,5,1,0,2,0,-4
11890685,-6,-4,-6,-4,-6,-6,-3,-5,-6,0,2,-1,-6,0,4,-4,-5,-4,-5,-6,-4,4,-3,-6,-6,1,3,-5,-2,6,-5,1,-5,1,-3,-3,2,-5,-6,-6,-4,-6,6,-6,-5,-6,-6,3,-2,6,4,6,4,-4,-5,-4,0,-1,-6,-6,-1,1,-3,0,-6,-2,6,1,5,1,0,1,-6,1,2,-1,-4,-5,-4,6,0,4,-6,-6,6,-6,5,2,6,-6,-6,-5,-6,-6,-1,-6,-5,-2,-3,-5,2,-4,-6,-5,1,-6,-6,-1,-5,3,-6,-4,2,1,2,2,-4,0,-4,-2
11890687,-7,-7,-7,2,-7,7,0,-7,-7,-1,2,7,-7,2,7,7,-7,7,0,-7,-7,7,0,-7,-7,0,7,-7,-7,7,-7,7,0,-7,-7,0,1,0,7,-7,-7,-7,7,-7,-7,-7,0,5,0,7,2,7,7,7,7,-7,-7,-7,7,-7,7,1,0,0,-7,1,7,-7,-7,-7,6,7,-7,-1,-7,1,-7,0,2,7,-7,7,-7,0,7,-7,7,-7,7,-1,-7,2,1,-7,-7,-2,-7,-7,-1,-7,0,0,-7,-7,-7,-7,-7,-7,0,-1,0,-7,-7,0,0,3,-7,-7,-7,-1
11890690,-6,1,-7,0,5,2,-1,-6,0,0,2,0,-7,-7,2,5,0,2,-7,-6,3,2,-6,-6,0,0,-2,0,0,5,0,0,0,-7,-6,4,3,0,1,0,0,-6,3,0,-6,-5,-6,-1,-7,5,0,3,-4,-7,-1,0,0,-6,0,-7,-7,0,-4,-4,-6,2,6,0,0,-6,0,-1,0,0,-6,0,-6,0,0,0,-7,1,-5,-4,0,-1,0,0,-5,0,-7,-6,0,-7,0,-5,1,1,0,1,-5,-7,-6,-6,-1,-6,0,-5,0,-2,-4,3,3,1,0,0,-1,0,-7,0
11890691,5,0,-7,3,2,-7,-2,-5,6,-3,-2,-5,0,-4,-3,6,3,3,-7,-3,5,4,-2,-2,6,4,6,-7,2,6,0,-2,-3,4,1,5,3,6,1,0,3,1,1,4,0,0,-7,1,6,7,2,5,6,2,-2,2,6,5,-4,-7,-6,4,2,2,-7,2,7,0,-5,-2,1,2,-4,3,2,2,6,1,-3,-3,0,5,2,-1,2,-1,2,1,0,1,-7,-2,1,-7,-3,1,2,-6,-4,1,3,0,-7,-3,3,3,-7,6,2,5,-6,6,3,3,7,7,3,0,-7,5
11890694,7,7,7,-5,4,7,-5,-2,-5,-4,-4,7,-5,7,-2,7,7,-5,7,7,7,7,7,7,7,7,-5,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,4,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,-5,2,7,4,7,7,7,7,-3,7,7,7,1,7,7,7,7,7,7,7,3,7,-6,7,7,7,7,-5,7,-5,4,-4,7,7,7,7,7,7,7,7,7,7,-5,7,7,7,7,7,7,7,7,7,7
11890696,6,2,-3,6,7,2,0,4,5,0,-7,-4,-7,-6,-4,5,3,5,-7,2,5,4,2,0,3,0,7,0,2,6,0,2,2,1,4,7,3,0,3,0,2,0,4,-7,-5,-7,-7,0,5,7,3,2,2,-2,-3,2,3,4,-3,-7,-6,2,-3,-5,-7,-3,6,-4,2,5,2,0,-5,5,5,7,1,-5,-4,2,0,5,-6,-5,4,3,3,6,4,-4,-2,2,2,-7,-4,2,-3,2,0,3,3,0,-7,1,4,-3,-3,5,-3,-6,-6,2,5,2,5,0,0,0,2,1
11890697,6,4,-1,6,6,2,0,-1,6,0,0,-6,5,-6,-4,4,0,6,2,-2,6,5,2,-4,5,1,2,2,2,6,2,-6,4,2,4,3,2,4,0,0,1,0,2,0,-2,0,-3,2,4,6,3,3,0,5,0,3,6,1,0,2,-5,3,0,-5,0,-3,5,3,4,0,5,5,-1,3,6,6,0,-6,-2,3,1,4,-2,2,-3,0,2,3,2,2,-2,3,4,-5,0,2,3,4,0,-4,6,-5,-6,0,4,-4,2,1,5,-2,2,3,6,4,6,0,3,1,1,0
11890698,-3,2,-2,5,-2,3,-3,2,-3,4,4,5,3,3,3,4,2,5,-3,4,-3,-3,4,2,4,2,2,3,4,-3,-3,3,2,-3,5,4,5,4,4,-2,3,5,3,0,-4,4,4,-4,2,5,3,3,-4,1,3,-3,4,4,-3,-2,4,2,5,3,-3,2,-4,3,4,4,-3,4,3,-2,3,4,4,3,-3,3,4,-4,-2,4,3,4,3,1,2,3,4,3,4,4,3,-2,4,3,-3,5,4,0,3,2,2,-2,5,-3,-3,5,-3,-2,3,4,4,3,4,3,-2,-4
11890699,0,-1,0,0,-3,-4,0,2,-1,-2,-6,0,-7,0,2,2,-2,1,-4,-1,0,-6,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,2,-1,0,0,-3,0,7,-1,0,-7,-7,-1,0,3,0,3,3,0,0,3,5,0,0,-6,-5,-2,0,0,-7,-1,4,0,0,-1,0,-1,0,0,-1,3,1,0,0,0,0,1,0,0,6,1,-1,0,2,0,0,0,-2,-7,-1,0,0,-5,0,0,0,0,-5,0,0,-6,-4,0,0,1,0,3,4,-3,2,0,0,1,0,0
11890700,0,-4,-6,5,0,4,0,0,0,0,0,0,-7,0,0,7,-5,4,-7,-6,4,6,0,0,5,4,6,0,0,6,0,0,0,5,0,6,5,0,0,3,0,0,0,4,0,-7,-7,5,0,7,6,7,3,0,-5,0,0,0,0,-5,0,4,0,3,-7,4,7,4,0,0,5,5,0,0,0,6,4,0,0,5,0,0,0,0,7,0,7,5,7,0,0,-5,0,-7,-7,0,-5,0,0,3,0,0,-4,0,5,-6,-6,0,5,-4,-4,6,5,4,0,5,3,0,0,0
11890701,2,-4,0,4,0,1,0,-5,0,0,-2,0,-6,-1,-2,4,0,0,-7,0,1,2,0,0,0,0,-1,0,0,4,0,0,-2,5,0,4,4,0,0,0,-3,0,1,-1,0,-7,-7,0,0,6,0,1,-1,2,2,0,2,0,2,-7,-2,0,0,-5,-5,0,5,3,0,0,-3,3,0,0,3,3,-2,-7,0,0,-4,4,0,0,2,-6,4,1,5,0,0,0,2,-7,0,0,0,0,0,0,1,-4,-5,0,-1,-5,-7,-4,2,-7,-3,0,0,0,0,0,0,0,0,0
11890705,-7,-7,-7,7,-7,7,-7,3,-7,0,-7,0,-7,-7,7,7,7,7,-7,-7,7,7,7,0,0,-7,7,-7,0,7,0,-7,-7,7,-7,7,7,-7,-7,-7,-7,0,7,7,7,-7,-7,7,-7,7,0,7,-7,7,7,-7,7,-7,-7,-7,0,7,-7,7,-7,-7,7,7,-7,-7,0,7,-7,0,7,7,-7,-7,0,-7,-7,7,-7,-7,7,-7,7,3,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,-7,-7,7,-7,-7,0,0,7,-7,7,7,7,7,7,-7,-7,-7,-7
11890706,6,-2,-3,4,6,2,-6,3,2,5,-3,-5,5,-3,-3,6,6,3,4,-4,3,3,4,-3,5,-2,6,0,2,3,0,-3,-4,7,0,6,2,1,-4,0,4,0,6,4,4,-3,-5,0,3,4,4,5,-1,5,-4,3,6,4,1,-3,-3,0,1,-3,3,2,7,-3,5,6,4,3,4,1,5,6,7,-5,-4,4,-5,5,3,-6,-4,-2,-3,5,5,-2,2,-2,6,7,2,2,3,-4,3,4,6,-5,7,-2,6,-6,-2,5,4,5,-1,5,5,2,4,4,3,-2,5,7
11890707,5,0,0,5,2,6,0,1,7,-4,0,-3,-7,-2,-4,6,-5,0,-7,0,3,6,0,-3,0,0,3,0,-2,5,0,0,-3,2,3,6,6,0,0,0,0,0,0,0,0,-7,-7,0,0,6,0,7,0,0,-4,0,1,3,0,-7,-3,0,2,-4,-7,0,6,0,0,0,1,0,1,0,6,7,0,-6,-2,0,3,5,0,0,-4,-1,1,0,2,1,-2,0,0,-7,-4,5,4,-5,1,0,5,0,-6,-5,6,-7,-6,0,0,-5,-6,0,0,0,0,0,0,0,1,0
11890709,-6,0,0,7,0,7,0,-7,7,0,2,-4,6,0,0,7,0,7,-7,0,-7,4,0,-7,5,0,7,-7,-7,7,0,-7,-7,2,0,6,5,-7,-1,0,-7,-7,5,-2,0,7,4,0,-7,7,0,0,6,6,-4,0,-1,0,-7,7,-7,-7,0,0,7,-7,6,-7,-7,-7,-7,-3,0,0,0,7,-7,0,0,0,-7,0,-7,0,-7,0,-6,0,-7,0,-7,1,5,7,-7,7,0,0,-7,0,-7,0,0,-7,-7,7,-7,0,0,5,-7,5,7,6,7,0,4,0,0,0
11890720,5,0,-1,0,3,4,0,0,4,0,4,-3,-4,-1,-2,6,0,0,-7,-1,3,4,0,0,0,3,3,0,0,5,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,-7,-7,0,4,7,3,7,7,-2,-3,0,3,5,0,-7,0,0,0,0,-7,7,7,-5,0,0,4,4,0,4,4,-2,0,0,0,3,0,5,0,0,0,0,0,3,3,0,0,0,0,-7,-3,0,0,-7,0,0,0,0,0,0,7,-7,-7,5,5,2,-7,6,5,0,6,7,0,0,0,0
11890724,4,2,1,4,3,-4,0,4,6,0,5,0,-6,-4,-1,3,2,5,-5,-2,4,-4,2,0,-2,4,4,0,2,6,0,-3,2,2,0,6,3,-3,3,0,2,0,5,5,4,4,-4,-1,-2,7,-1,3,2,0,-1,0,5,3,1,-7,0,3,0,0,-4,0,6,4,1,-2,-2,1,0,3,6,6,0,-2,-4,2,-2,6,-1,-1,3,-2,4,5,7,2,2,-2,3,-7,0,2,1,-2,3,0,5,1,-6,0,4,-5,-5,2,4,1,-5,4,4,5,4,0,1,5,2,2
11890730,4,0,1,0,5,3,0,4,3,0,4,-2,-2,-3,-3,4,0,3,0,2,4,3,3,0,2,0,4,0,1,4,0,0,0,2,0,4,1,2,0,0,0,0,2,0,0,0,0,2,-2,5,-2,6,-4,1,1,0,2,1,0,0,-1,0,1,0,0,0,4,2,0,1,2,-2,0,0,2,1,0,0,0,2,0,5,0,0,-4,0,-3,1,-2,2,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,1,-1,-1,0,-1,4,3,4,0,0,3,0,0
11890731,6,-7,0,6,3,7,-4,3,7,5,6,-6,-7,-6,4,7,7,7,0,-7,3,7,2,-6,7,6,7,-7,4,4,-7,-6,-5,6,6,7,5,7,3,6,7,5,6,7,7,3,7,4,7,7,7,6,5,7,2,7,5,3,-7,7,-6,3,7,7,4,6,7,-7,0,7,6,7,5,0,7,6,7,-2,-7,0,-3,7,3,7,6,4,5,4,5,0,0,0,0,-7,-6,-7,0,4,0,7,7,-7,3,-7,7,0,7,7,7,5,-6,7,7,7,7,0,4,3,-4,4
11890732,-3,-4,-6,-2,-3,2,-4,-3,-3,-6,-4,-4,2,-3,-3,-3,-6,-5,-5,-6,-2,4,-5,-3,2,-5,-5,-5,-5,5,-6,-5,-3,5,-5,-3,-4,-3,-5,-1,-6,-4,-5,-4,-4,-5,-2,-2,-6,4,-3,2,0,-5,-4,-7,-3,-3,-3,-1,-2,-1,-1,-1,-1,1,2,-3,-2,-2,-5,-6,-3,-6,-2,-3,-2,-2,-5,-1,-2,-3,-7,-5,-4,-2,-6,-4,-2,-4,-4,0,-4,-7,-2,-1,-4,-7,-4,-1,-6,-6,-4,-3,-5,-4,-6,-5,-4,-6,-7,0,-1,-5,2,-7,-5,-7,-3,-3
